City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ambon,0,FR,1514842200,70,47.55,-2.56,48.2,12.75
Dombas,80,NO,1514843158,78,62.07,9.12,10.99,1.88
Carnarvon,0,ZA,1514843158,30,-30.97,22.13,56.53,9.04
Port Alfred,24,ZA,1514843159,84,-33.59,26.89,66.34,23.02
Hilo,90,US,1514840160,61,19.71,-155.08,77.0,6.93
Chitral,0,PK,1514843160,57,35.85,71.79,-10.48,0.98
Mataura,12,NZ,1514843161,64,-46.19,168.86,66.29,4.56
Qaanaaq,64,GL,1514843161,100,77.48,-69.36,-7.51,6.8
Busselton,0,AU,1514843162,100,-33.64,115.35,64.72,15.64
Harper,90,US,1514841300,62,30.3,-99.24,24.8,6.93
Souillac,75,FR,1514842200,81,45.6,-0.6,48.2,6.93
Shache,24,CN,1514843164,78,38.42,77.24,16.03,3.67
Gaurnadi,20,BD,1514843165,88,22.97,90.23,57.97,1.99
Necochea,48,AR,1514843166,42,-38.55,-58.74,83.12,4.68
Mataura,12,NZ,1514843161,64,-46.19,168.86,66.29,4.56
Puerto Ayora,20,EC,1514840400,61,-0.74,-90.35,80.6,17.22
Lodja,92,CD,1514843168,97,-3.52,23.6,68.95,2.44
Rikitea,80,PF,1514843168,100,-23.12,-134.97,77.14,10.71
Mattru,8,SL,1514843169,45,7.62,-11.83,81.77,4.9
Victoria,75,BN,1514842200,83,5.28,115.24,80.6,8.05
New Norfolk,75,AU,1514840400,62,-42.78,147.06,57.2,7.25
Victoria,75,BN,1514842200,83,5.28,115.24,80.6,8.05
Glace Bay,40,CA,1514840400,85,46.2,-59.96,17.6,11.41
Umm Kaddadah,0,SD,1514843171,34,13.6,26.69,55.72,13.29
Constitucion,40,MX,1514839320,40,23.99,-104.67,69.8,9.17
Busselton,0,AU,1514843162,100,-33.64,115.35,64.72,15.64
Bredasdorp,92,ZA,1514840400,67,-34.53,20.04,62.6,4.7
Ostra Luka,0,BA,1514842200,87,45.0,18.59,42.8,3.36
Nhulunbuy,0,AU,1514840400,88,-12.18,136.78,80.6,8.37
Prince George,1,CA,1514840400,78,53.92,-122.75,14.0,4.7
Dingle,92,PH,1514843177,97,11.0,122.67,74.35,18.99
Hilo,90,US,1514840160,61,19.71,-155.08,77.0,6.93
Ushuaia,75,AR,1514840400,61,-54.81,-68.31,48.2,16.11
Mataura,12,NZ,1514843161,64,-46.19,168.86,66.29,4.56
Kununurra,0,AU,1514840400,83,-15.77,128.74,78.8,5.82
Yellowknife,75,CA,1514840400,75,62.45,-114.38,-14.81,10.29
San Francisco,1,US,1514842560,55,37.78,-122.42,64.4,4.7
Mataura,12,NZ,1514843161,64,-46.19,168.86,66.29,4.56
New Norfolk,75,AU,1514840400,62,-42.78,147.06,57.2,7.25
Pevek,8,RU,1514843180,90,69.7,170.27,-20.52,1.43
Lebu,0,ET,1514843180,80,8.96,38.73,36.82,2.66
Hilo,90,US,1514840160,61,19.71,-155.08,77.0,6.93
